constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,SC,ST,Minority,Others,Total
bolangir,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12438.65,13632,50.8,22688.8,48810.25
cuttack,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.25,708,55,7172.8,9960.05
dhenkanal,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5401.4,4423.6,5.3,8332.3,18162.6
jagatsinghpur (sc),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629.8,26.6,328.9,5949.5,8934.8
jajpur (sc),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,7407.6,1101.05,843.55,8421.25,17773.45
kalahandi,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6211.65,16575.8,64.2,12437.6,35289.25
kandhamal,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,8453.9,7262.85,104.95,9525.4,25347.1
kendrapara,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,4229,172.79999999999998,816.3,12098.8,17316.9
keonjhar (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880.7,18903.15,31.6,6524.75,29340.2
koraput (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1806,9430.05,200.1,6328.75,17764.9
mayurbhanj (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2264.4,28059.95,272.1,5568.25,36164.7
nabarangpur (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5156.25,25510.45,121.95,5879.2,36667.85
puri,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,3039.3,366.15,102.15,10481.45,13989.05
sambalpur,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5783.65,10694,11,8688.75,25177.4
sundargarh (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2113.25,19623.85,115.25,2837.5,24689.85
padampur,1,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866.1,4773.9,4.3,2314.1,8958.4
biramitrapur (st),10,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.5,7216.95,35.05,2335.6,10125.1
mahakalapada,100,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,713.2,43.7,19.700000000000003,3197.7,3974.3
paradeep,101,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,5.2,0.4,575.3,622.6
tirtol (sc),102,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8,4.5,158.3,966.4,1326
balikuda- erasama,103,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,465.9,3.4000000000000004,32.3,2933.2,3434.7999999999997
jagatsinghpur,104,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,0,59.3,547.7,667.8
kakatpur (sc),105,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.9,3,81.89999999999999,738.1,1045.9
nimapara,106,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.7,0,28.099999999999998,859.1,1190.9
puri,107,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.29999999999998,0.3,0,705.7,858.3
brahmagiri,108,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,590.3,17.1,77.60000000000001,2775.4,3460.4
satyabadi,109,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.3,6.7,9.1,2498.4,2731.5
raghunathpali (sc),11,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,151.5,0.3,51.2,209.15
pipili,110,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.8,3.5,13.4,1007.7,1182.4
jayadev (sc),111,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,0,3.5,20.7,35.6
bhubaneswar north,113,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.2999999999999998,1.2999999999999998
ekamra- bhubaneswar,114,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,0,0.7,1
jatani,115,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,7.7,17.2,139.7,170.9
begunia,116,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,47.2,37.5,1846.6,1955.8
khurda,117,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,39.1,39,849,969.1
chilika,118,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,116.10000000000001,3.5,203.5,340.6
ranpur,119,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.65,166.55,0,2026.65,2300.85
rourkela,12,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
khandapada,120,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.9,120.5,0,2317.2,2570.6
daspalla (sc),121,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.2,771.45,0.95,2282.45,3487.05
nayagarh,122,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.35,32.9,1.05,2453.05,2637.35
bhanjanagar,123,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.75,471.85,0,2647.65,3792.25
polasara,124,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.1,77.75,0.3,550.6,747.75
kabisuryanagar,125,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.800000000000004,16.5,0,465.7,537
khalikote (sc),126,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,23,0,513.3,566.1
chhatrapur (sc),127,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,0,0,15.450000000000001,23
aska,128,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,1,0,146,163.5
surada,129,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.3,242,7.449999999999999,2229.3,2829.05
rajgangpur (st),13,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.25,2824.95,4.3,453.65,3415.15
sanakhemundi,130,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2,124.75,0,757.8,968.75
hinjili,131,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.55,4.300000000000001,0,58.5,79.35
gopalpur,132,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,0.75,0,28.05,37.05
digapahandi,134,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,38.6,0,259.95,326.45
chikiti,135,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.25,161.65,0,393.2,614.1
mohana (st),136,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.75,770.8000000000001,97.2,1574.6,2477.35
paralakhemundi,137,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,19.1,23.8,966.05,1059.05
gunupur (st),138,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.7,978.7,182.4,2096.95,3375.75
bissam cuttack (st),139,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.4,1423.7,6.9,2640,4337
bonai (st),14,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.45,6986,2.8,1381.25,8852.5
rayagada (st),140,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,1998.3,2.75,1406.15,3743.2000000000003
lakshmipur (st),141,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,3183.95,0,756.8,4366.75
kotpad (st),142,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263.85,4200.95,4.05,1876.65,7345.5
jeypore,143,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.7,2295.5,6.75,1091.55,4156.5
koraput (sc),144,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.35,1470.85,0,1076.45,2964.65
pottangi (st),145,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,307.35,1.2,229.2,602.85
malkangiri (st),146,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.1,1489.65,0.6,331.05,2090.4
chitrakonda (st),147,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.35,1809.95,0,552.35,2643.65
kuchinda (st),15,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.45,1235.65,2.4,1191.95,2562.45
rengali (sc),16,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.1,1494.05,0,1387.5,3164.65
rairakhol,18,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.15,1135.65,0,1496.35,2767.15
deogarh,19,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.7,1810.95,23.25,2395.6,4940.5
bijepur,2,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.5,989.6,0,2267.8,4202.9
telkoi (st),20,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,836.4,6096.85,0,1726.05,8659.3
ghasipura,21,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1763.65,4119.05,11.75,2029.15,7923.6
anandapur (sc),22,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350.85,2082.7,0,1346.55,4780.1
patna (st),23,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.95,3309.95,0.6,1355.45,4805.95
keonjhar (st),24,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.6,4438.15,0,930.7,5809.45
champua,25,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,1740.85,1.3,674.65,2494.5
jashipur (st),26,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.05,5250.55,2.1,964.25,6542.95
saraskana (st),27,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.05,7038.9,6.050000000000001,1344.3,8919.3
rairangpur (st),28,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.85,6590.25,29.8,1597.15,8764.05
bangriposi (st),29,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,422.6,7689.25,0.3,1335.05,9447.2
bargarh,3,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.6,193.7,1.9000000000000001,1054.2,1831.4
karanjia (st),30,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.85,6209.55,7.2,924.75,7382.35
udala (st),31,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,943.05,6140.35,0.8,1279.9,8364.1
badasahi (sc),32,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434.85,4218.25,27.8,1400.95,7081.85
baripada (st),33,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.65,4869.55,0,756.4,5811.6
morada,34,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.3,4409.75,2.3000000000000003,2434.2,7695.55
jaleswar,35,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,1485.5,205.4,1201.2,4252.1
bhograi,36,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124.4,128.9,96.39999999999999,1491.8,2841.5
basta,37,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538.1,668.6,131.1,1833.4,4171.2
balasore,38,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,822.4,212.9,20.1,886.8,1942.2
remuna (sc),39,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.9,447.8,14.600000000000001,1053.6,2494.9
attabira (sc),4,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.3,577,0.4,1088.9,2408.6
nilgiri,40,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.7,3583,0.3,1149,5453
soro (sc),41,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,137.6,14,1306.3,2305.9
simulia,42,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140.3,277.7,27.900000000000002,2004.8,3450.7
bhandaripokhari,43,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.7,159.4,61.8,3025,4262.9
bhadrak,44,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,811.8,218,234,2407.8,3671.6
basudevpur,45,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.6,3.3,16.900000000000002,3832.7,4426.5
dhamnagar,46,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179,34.7,117.9,3591.8,4923.4
chandabal,47,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.9,8.299999999999999,48.1,4248.7,5155
binjharpur (sc),48,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2418.6,0.75,58.65,2927.15,5405.15
bari,49,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.15,6.1000000000000005,26.55,1920.05,2773.85
bhatli,5,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319.4,1494.1,0.7,1719,4533.2
barachana,50,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.65,98,21,135.55,325.2
dharmasala,51,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.55,28.6,0.6,717.6,913.35
jajpur,52,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.85,16.55,205.45000000000002,1986.75,3001.6
korei,53,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.75,137.75,69.4,1159.75,1946.65
sukinda,54,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.65,646.55,1.05,490.65,1340.9
dhenkanal,55,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,634.8,277.1,0.4,1827,2739.3
hindol (sc),56,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525.2,397.2,0,1929.6,3852
kamakhyanagar,57,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014.7,311.7,0,1742.5,3068.9
parjanga,58,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,1718.2,0,2759.6,5952.8
pallahara,59,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.7,1857.3999999999999,0,690.5,3205.6
brajarajnagar,6,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1439.2,2129.4,0.8999999999999999,2578.2,6147.7
talcher,60,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,20.8,0,8.799999999999999,42
angul,61,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.4,162.8,0,821.5,1459.7
chhendipada (sc),62,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.09999999999997,130,0,610,1018.1
athamallik,63,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.7,1732.9,2.4,1701.1,4309.1
birmaharajpur (sc),64,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2701,918.1,10.4,4889.5,8519
sonepur,65,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3114.55,1296.25,1.3,6552.7,10964.8
loisingha (sc),66,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1793.85,1095.85,14.950000000000001,3817.85,6722.5
patnagarh,67,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898.1,5057.25,8.05,3418.8,10382.2
bolangir,68,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236.4,1412.05,8.2,1923.7,4580.35
titlagarh,69,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1802.1,2749.1,10.9,3388.8,7950.9
jharsuguda,7,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,909,2672.7,0,1865.3,5447
kantabanji,70,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2149.85,3913.2000000000003,0.3,3798,9861.35
nuapada,71,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495.5,4008.6,17.55,1574.65,7096.3
kharia,72,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,938.35,2442.3,2.6,2299,5682.25
umerkote (st),73,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024.3,4218.4,0,818.95,6061.65
jharigam (st),74,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154.1,6273.3,16.799999999999997,2483.85,9928.05
nabarangpur (st),75,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324.75,5533.6,70.5,1656.4,8585.25
dabugam (st),76,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,860.7,4802.75,22.900000000000002,1342.4,7028.75
lanjigarh (st),77,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2094.05,5744.35,0.45,1517.6,9356.45
junagarh,78,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,902.9,1733.25,0,2251.15,4887.3
dharamgarh,79,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.15,2688.3,1.3,2813.8,6615.55
talsara (st),8,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,943.55,6863.4,43.449999999999996,2116.75,9967.15
bhawanipatna (sc),80,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.15,1688.65,2.6,1258.15,3562.55
narla,81,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.2,2036.55,7.9,2190.15,5189.8
baliguda (st),82,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.9,722.8,73.2,2021.2,3475.1
g. udayagiri (st),83,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.75,87.45,40.45,585.35,941
phulbani (st),84,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.9,917.45,2,1886.1499999999999,3808.5
kantamal,85,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1653.3,988.2,0.3,4325.5,6967.3
boudh,86,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083.7,995.5,1.7000000000000002,3554.5,6635.4
baramba,87,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.5,181.5,6.2,3903.2,4617.4
banki,88,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,156.9,0,2017.7,2266.9
athagarh,89,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.8,200.1,5.4,2286.5,2572.8
sundargarh (st),9,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169.95,2370.15,0,2864.4,6404.5
choudwar- cuttack,91,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,4,0.2,61.50000000000001,66.3
niali (sc),92,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,4.7,9.2,111.4,186.1
cuttack sadar (sc),93,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.2999999999999998,5.1,157.9,203.3
salipur,94,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2,94.6,43.8,482,699.6
mahanga,95,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4,4.2,64.8,1468.2,1630.6
patkura,96,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.6,4.6,19.2,439.1,642.5
kendrapara (sc),97,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.2,3.6,93.8,1031.8,1596.4
aul,98,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,1.2,235.4,4628,6145.6
rajanagar,99,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.8,54.3,116.4,3955.7,4627.2
aska,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.25,489.3,7.75,4721.2,5891.5
balasore,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979.35,10744.95,495.7,9016.75,28236.75
bargarh,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7803.1,12830.4,8.2,12887.5,33529.2
berhampur,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.8,990.9,121,3237.3,4537
bhadrak (sc),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6419.3,839,520.6,20417.1,28196
bhubaneswar,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,94,97.2,2858,3133.7
bolangir,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,14695.85,16441.8,54.1,27789.35,58981.1
cuttack,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.1,664.3,16.9,10744,12297.3
dhenkanal,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,5795.2,4745.2,0.4,9779.5,20320.3
jagatsinghpur (sc),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352.6,20.8,369.5,6731.2,8474.1
jajpur (sc),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,5052.2,934.3,382.7,9337.5,15706.7
kalahandi,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111.3,20342,32.4,13904.5,42390.2
kandhamal,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6730.5,4954.7,118.6,17302.8,29106.6
kendrapara,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3314.4,206.2,593.1,15202.5,19316.2
keonjhar (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4850,27997.1,20.85,8987.3,41855.25
koraput (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2391.25,11658.35,200,9297.1,23546.7
mayurbhanj (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3803.55,41988.6,41.35,9711.25,55544.75
nabarangpur (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6178.15,28328.6,114.85,9061.65,43683.25
puri,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393.2,343.15,104.65,11670.4,13511.4
sambalpur,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2412.2,7539.2,28.05,8782.5,18761.95
sundargarh (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3271.85,26412.95,85.9,9202.85,38973.55
